2022-11-04 20:17:15,559 |  IcnHost |    INFO | Record refprice at 15:50:00 (FCX,0,0.00)
2022-11-04 20:17:15,559 |  IcnHost |    INFO | Record refprice at 15:55:00 (RBLX,0,0.00)
2022-11-04 20:17:15,559 |  IcnHost |    INFO | Record refprice at 15:58:00 (SQ,0,0.00)
2022-11-04 20:17:15,559 |  IcnHost |    INFO | Record refprice at 15:50:00 (ACN,0,0.00)
2022-11-04 20:17:15,559 |  IcnHost |    INFO | Record refprice at 15:55:00 (SQ,0,0.00)
2022-11-04 20:17:15,559 |  IcnHost |    INFO | Record refprice at 15:58:00 (FCX,0,0.00)
2022-11-04 20:17:15,559 |  IcnHost |    INFO | Record refprice at 15:50:00 (SNOW,0,0.00)
2022-11-04 20:17:15,559 |  IcnHost |    INFO | Record refprice at 15:55:00 (FCX,0,0.00)
2022-11-04 20:17:15,559 |  IcnHost |    INFO | Record refprice at 15:58:00 (ACN,0,0.00)
2022-11-04 20:17:15,559 |  IcnHost |    INFO | Record refprice at 15:50:00 (GS,0,0.00)
2022-11-04 20:17:15,559 |  IcnHost |    INFO | Record refprice at 15:55:00 (ACN,0,0.00)
2022-11-04 20:17:15,560 |  IcnHost |    INFO | Record refprice at 15:58:00 (SNOW,0,0.00)
2022-11-04 20:17:15,560 |  IcnHost |    INFO | Record refprice at 15:50:00 (SLB,0,0.00)
2022-11-04 20:17:15,560 |  IcnHost |    INFO | Record refprice at 15:55:00 (SNOW,0,0.00)
2022-11-04 20:17:15,560 |  IcnHost |    INFO | Record refprice at 15:58:00 (GS,0,0.00)
2022-11-04 20:17:15,560 |  IcnHost |    INFO | Record refprice at 15:50:00 (TSM,0,0.00)
2022-11-04 20:17:15,560 |  IcnHost |    INFO | Record refprice at 15:55:00 (GS,0,0.00)
2022-11-04 20:17:15,560 |  IcnHost |    INFO | Record refprice at 15:58:00 (SLB,0,0.00)
2022-11-04 20:17:15,560 |  IcnHost |    INFO | Record refprice at 15:50:00 (IBM,0,0.00)
2022-11-04 20:17:15,560 |  IcnHost |    INFO | Record refprice at 15:55:00 (SLB,0,0.00)
2022-11-04 20:17:15,560 |  IcnHost |    INFO | Record refprice at 15:58:00 (TSM,0,0.00)
2022-11-04 20:17:15,560 |  IcnHost |    INFO | Record refprice at 15:50:00 (MCD,0,0.00)
2022-11-04 20:17:15,560 |  IcnHost |    INFO | Record refprice at 15:55:00 (TSM,0,0.00)
2022-11-04 20:17:15,560 |  IcnHost |    INFO | Record refprice at 15:58:00 (IBM,0,0.00)
2022-11-04 20:17:15,560 |  IcnHost |    INFO | Record refprice at 15:50:00 (NEE,0,0.00)
2022-11-04 20:17:15,560 |  IcnHost |    INFO | Record refprice at 15:55:00 (IBM,0,0.00)
2022-11-04 20:17:15,560 |  IcnHost |    INFO | Record refprice at 15:58:00 (MCD,0,0.00)
2022-11-04 20:17:15,560 |  IcnHost |    INFO | Record refprice at 15:50:00 (TGT,0,0.00)
2022-11-04 20:17:15,560 |  IcnHost |    INFO | Record refprice at 15:55:00 (MCD,0,0.00)
2022-11-04 20:17:15,560 |  IcnHost |    INFO | Record refprice at 15:58:00 (NEE,0,0.00)
2022-11-04 20:17:15,561 |  IcnHost |    INFO | Record refprice at 15:50:00 (ORCL,0,0.00)
2022-11-04 20:17:15,561 |  IcnHost |    INFO | Record refprice at 15:55:00 (NEE,0,0.00)
2022-11-04 20:17:15,561 |  IcnHost |    INFO | Record refprice at 15:58:00 (TGT,0,0.00)
2022-11-04 20:17:15,561 |  IcnHost |    INFO | Record refprice at 15:50:00 (FDX,0,0.00)
2022-11-04 20:17:15,561 |  IcnHost |    INFO | Record refprice at 15:55:00 (TGT,0,0.00)
2022-11-04 20:17:15,561 |  IcnHost |    INFO | Record refprice at 15:58:00 (ORCL,0,0.00)
2022-11-04 20:17:15,561 |  IcnHost |    INFO | Record refprice at 15:50:00 (EOG,0,0.00)
2022-11-04 20:17:15,561 |  IcnHost |    INFO | Record refprice at 15:55:00 (ORCL,0,0.00)
2022-11-04 20:17:15,561 |  IcnHost |    INFO | Record refprice at 15:58:00 (FDX,0,0.00)
